"ID";"Nome";"Endereço";"Complemento";"Cidade";"Estado";"País";"E-mail";"Site";"Data de cadastro";"N. Profissionais";"N. Cursos Públicos"
"1480";"OCCHIO Brasil";"AVENIDA JOSE DA SILVA SE, Nº 305";"CASA 373";"São José do Rio Preto ";"SP ";"Brasil";"adm@occhiobrasil.com.br";"www.occhiobrasil.com.br";"14/06/2019";"0";"0"
"1511";"Neovia Engenharia";"Praça São Paulo da Cruz, nº 50";"10º Andar";"Curitiba";"Paraná";"Brasil";"rh@neoviaengenharia.com.br";"www.neoviaengenharia.com.br";"27/06/2019";"5893";"138"
"1523";"Budziak";"999999";"casa";"0";"Santa Catarina";"55";"lucas.rodrigues@euax.com.br";"";"03/07/2019";"210";"122"
"1632";"STB";"Av Brigadeiro Faria Lima";"1713";"São Paulo";"SP";"Brasil";"do@stb.com.br";"";"05/08/2019";"723";"217"
"1658";"Prevent Work";"Rua Wanderley Quirino";"Centro de Treinamento";"Cataguases";"Minas Gerais";"Brasil";"adm-treinamento@preventwork.com";"www.preventwork.com.br";"12/08/2019";"10610";"1025"
"1734";"Treinaseg";"Bela Cintra, n° 339, sala 71";"";"São Paulo";"SP";"Brasil";"comercial@treinaseg.com.br";"http://treinaseg.com.br/";"06/09/2019";"19";"0"
"1750";"4BIO Medicamentos";"rua pedroso alvarenga, 58";"1 aNDAR";"São Paulo";"SP";"Brasil";"transportes@4bio.com.br";"www.4bio.com.br";"10/09/2019";"1321";"54"
"1829";"Academia Digital";"-";"-";"-";"-";"-";"thais.almeida@syngenta.com";"";"30/09/2019";"1652";"22"
"2036";"Softcom EAD";"Rio Grande do Sul";"5210";"Joao Pessoa";"Paraiba";"Brasil";"externa@softcomtecnologia.com.br";"";"14/11/2019";"0";"0"
"2075";"ADAPT";"RUA LAMENHA LINS, 2232";"i";"i";"i";"i";"bmelo@rhnossa.com.br";"";"26/11/2019";"7609";"284"
"2264";"Fleeg Academy";"Rua São Paulo 31";"Sala 106";"Joinville";"SC";"Brasil";"cs@fleeg.com";"www.fleeg.com";"29/01/2020";"554";"35"
"2297";"Cory";"Rua 01";"";"Aqyu";"agira";"Brasil";"priscila.ferreira@cory.com.br";"";"05/02/2020";"939";"142"
"2308";"Grupo Tagg";"Av Afrânio Peixoto 401";"";"São Paulo";"São Paulo";"Brasil";"marketing@grupotagg.com.br";"grupotagg.com.br";"07/02/2020";"3908";"7"
"2338";"PGR Gestão de Riscos";"Avenida Embaubas";"1030";"Sinop";"Mato Grosso";"Brasil";"comercial@primordialpgr.com.br";"";"13/02/2020";"0";"0"
"2367";"ROADRUNNER ENGENHARIA LTDA";"RODOVIA GERALDO SCAVONE 2080";"GALPÃO 13";"JACAREI";"SP";"Brasil";"douglas.negrao@rrunner.com.br";"rrunner.com.br";"19/02/2020";"265";"27"
"2461";"Arquivar";"Avenida Presidente Tancredo Neves, 3904";"Galpão";"Belo Horizonte";"Minas Gerais";"Brasil";"universidade@arquivar.com";"";"17/03/2020";"0";"0"
"2541";"AGIR";"Av. Olinda, 960 Ed. Lozandes Corporate Design Torre Business";"20° Andar, Parque Lozandes";"Goiânia";"GO";"Brasil";"twygo@agirsaude.org.br";"www.agirsaude.org.br";"25/03/2020";"0";"0"
"2754";"Cooperativa Agroindustrial Alfa";"Avenida Fernado Machado";"2580 D";"Chapecó";"Santa Catarina";"Brasil";"ead@cooperalfa.coop.br";"www.cooperalfa.com.br";"02/04/2020";"7539";"17"
"2865";"Phytobiotics";"R. José Carlos Muffato, 1780";"Anexo A e B";"Cambé";"PR";"Brasil";"marketing@phytobiotics.com.br";"www.phytobiotics.com";"16/04/2020";"82";"39"
"2899";"Twygo Academy";"-";"";"-";"-";"-";"mkt@twygo.com";"www.twygoead.com";"20/04/2020";"1242";"34"
"2955";"Escola Pradolux Luxparts";"Av. João Pinheiro, 2200";"";"Poços de Caldas";"Minas Gerais";"Brasil";"ti4@pradolux.com.br";"https://www.pradolux.com.br/";"27/04/2020";"1155";"60"
"3020";"Jornada Cultivar";"x";"x";"x";"x";"x";"cultivar@raizen.com";"";"05/05/2020";"178";"30"
"3081";"KLD Academy";"AV. EUROPA, 610";"";"AMPARO";"SP";"Brasil";"GLAUCO@KLD.COM.BR";"WWW.KLD.COM.BR";"13/05/2020";"23";"19"
"3196";"Universidade PlayStation";"Rua Almirante Pereira Guimarães, 327";"";"São Paulo";"SP";"Brasil";"paulo.cavalini@ontradebr.com.br";"www.playstation.com";"28/05/2020";"3120";"26"
"3233";"Float Health Brasil";"Rua Luisiania, 244";"";"São Paulo";"SP";"Brasil";"admin@floatbrasil.com.br";"";"03/06/2020";"152";"32"
"3398";"HALEX ISTAR";"x";"x";"x";"x";"x";"caio.abreu@twygoead.com.br";"";"25/06/2020";"0";"0"
"3490";"Irmandade da Santa Casa de Misericórdia de Rio Claro";"Rua DOIS N° 297";"";"RIO CLARO";"SP";"BRASIL";"enf.educacao@santacasaderioclaro.com.br";"";"07/07/2020";"2867";"16"
"3618";"JetBov ";"Rua São Paulo, 305";"Bloco F, Sala 03";"Joinville";"SC";"Brasil";"ariane@jetbov.com";"www.jetbov.com";"22/07/2020";"5920";"57"
"3698";"UNIFFATO";"Av. Tiradentes, 2667 - Rodocentro.";"Sede Administrativa";"Londrina";"PR";"Brasil";"jpdamiao@muffato.com.br";"-";"29/07/2020";"77995";"142"
"3709";"Klin Engenharia e Gestão Ambiental Ltda.";"Av. Tancredo Neves, n° 2421";"";"Salvador ";"BA";"Brasil";"admin@klin.com.br";"";"30/07/2020";"292";"10"
"3748";"Caliper Escola de Imagem";"-";"-";"Salvador";"BA";"Brasil";"admin@escolacaliper.com.br";"";"05/08/2020";"1079";"31"
"3784";"Construtora Terraco";"-";"-";"-";"-";"-";"rh@construtoraterraco.com.br";"-";"10/08/2020";"918";"37"
"3790";"Redbelt Security";"Avenida das Nações Unidas, 12.399";"Cj 126 A";"São Paulo";"SP";"Brasil";"eduardo.lopes@redbelt.com.br";"https://www.redbelt.com.br";"11/08/2020";"392";"29"
"3886";"UNIVERSIDADE CLUBÃO";"Av. Lico Maia, ";"930 ";"Diadema";"SP";"Brasil";"ted@clubao.com";"www.uniclubao.com.br";"25/08/2020";"1055";"55"
"3912";"EAD COTESA";"Rua Adolfo Gonçalves de Aguiar, 75";"";"Florianópolis";"Santa Catarina";"Brasil";"comunicacaorh@cotesa.com.br";"cotesa.com.br";"27/08/2020";"1241";"225"
"4246";"UNIVERSIDADE EUAX";"Rua São Paulo, 31";"Sala 106";"Joinville";"SC";"Brasil";"rh@twygo.com";"www.grupoeuax.com.br";"05/10/2020";"484";"187"
"4381";"00006 - Uniware Consultoria e Comércio de Equipamentos para Informática Ltda";" R. Otaviano Félix, 70";"";"Londrina";"PR";"Brasil";"comercial@uniware.com.br";"https://www.unilab.com.br/";"16/10/2020";"5846";"11"
"4412";"Corpo de Bombeiros Militar de Minas Gerais ";"Avenida Rondon Pacheco, 5715";"-";"Uberlândia";"Minas Gerais";"Brasil";"5bbm.secretaria@bombeiros.mg.gov.br";"https://www.bombeiros.mg.gov.br/";"20/10/2020";"3584";"9"
"4450";"Cootravale - Cooperativa dos Transportadores do Vale";"Rodovia Jorge Lacerda, 1135";"";"Itajaí";"Santa Catarina";"Brasil";"rh@cootravale.com.br";"https://www.cootravale.com.br/";"26/10/2020";"3588";"18"
"4471";"Bartofil";"ijventura@bartofil.com.br";"x";"x";"x";"x";"ijventura@bartofil.com.br";"";"27/10/2020";"5952";"17"
"4491";"ÓTICA INSTITUTO DOS OCULOS";"";"";"";"";"";"pinheirinho@institutodosoculos.com";"";"29/10/2020";"1";"0"
"4566";"PRM Serviços";"Rua Alvarenga";"";"São Paulo";"SP";"Brasil";"rh7@prmservicos.com.br";"";"06/11/2020";"2745";"14"
"4705";"CALÇADOS PEGADA";"Av. Florestal";"";"DOIS IRMÃOS";"RS";"Brasil";"pegada@pegada.com.br";"www.pegada.com.br";"18/11/2020";"3370";"72"
"4752";"Indeba";"-";"";"-";"-";"-";"assistentecaldeira@gmail.com";"";"24/11/2020";"479";"54"
"4954";"Academia GSRD";"-";"-";"-";"-";"-";"fernanda.monti@gsrd.com.br";"-";"17/12/2020";"506";"38"
"4962";"Rede Madre - Pequenas Missionárias de Maria Imaculada";"Rua Major Antônio Domingues, 244";"x";"São José dos Campos";"São Paulo";"Brasil";"talita.cassiano@redemadre.org.br";"https://www.redemadre.org.br/";"18/12/2020";"0";"0"
"4964";"Dislub Equador";"x";"x";"x";"x";"x";"marketing@gde-br.com";"";"18/12/2020";"0";"0"
"4965";"Cooxupé";"x";"x";"x";"x";"x";"camilasilva@cooxupe.com.br";"";"18/12/2020";"0";"0"
"5009";"Damaplan";"";"";"";"";"";"damaplan@damaplan.com.br";"";"29/12/2020";"1572";"35"
"5018";"Metadados Assessoria e Sistemas Ltda.";"Av. Júlio de Castilhos, n° 3686";"";"Caxias do Sul";"Rio Grande do Sul";"Brasil";"ead@metadados.com.br";"https://www.metadados.com.br/";"04/01/2021";"2447";"139"
"5030";"Açovisa";" Rua Angatuba, 350";"Galpão 01 ";"Guarulhos";"São Paulo";"Brasil";"escoladoaco@acovisa.com.br";"www.acovisa.com.br";"05/01/2021";"0";"0"
"5067";"Centro Educacional Betel";"R. Tiradentes, 450 ";"Centro";"Telêmaco Borba";"Paraná";"Brasil";"secretaria.ibbtb@gmail.com";"igrejabatistabetel.com.br";"11/01/2021";"0";"0"
"5133";"Sapiência";" Alameda Terracota, 185 ";"CJ 931";"São Caetano do Sul";"São Paulo";"Brasil";"adriano.martins@epiuse.com.br";"https://www.epiuse.com.br/";"20/01/2021";"0";"0"
"5139";"Ronnet";"RUA PERNAMBUCO, 656";"SALA A";"CEREJEIRAS";"RO";"BRASIL";"janrueckert@hotmail.com";"";"20/01/2021";"42";"20"
"5241";"HORIBA";"Rua Presbitero Plinio Alves de Souza";"645";"JUNDIAI";"SP";"BRASIL";"recursos-humanos@horiba.com";"";"28/01/2021";"175";"298"
"5259";"John Cockerill";"Av. Pref. Aristeu Ferreira da Silva";"";"Macaé";"Rio de Janeiro";"Brasil";"cristina.pacheco@johncockerill.com";"https://johncockerill.com/en/";"01/02/2021";"0";"0"
"5291";"Unimed Poços de Caldas";"AVENIDA GENTIL MESSIAS - KITATE";"217";"POÇOS DE CALDAS";"MG";"BRASIL";"ndh@unimedpc.com.br";"";"03/02/2021";"2131";"131"
"5298";"Grupo MSA Indústria e Comércio S/A";"Av Duque de Caxias, 360";"";"Francisco Beltrão";"PR";"Brasil";"mauriza@marel.com.br";"www.grupomsa.com.br";"03/02/2021";"2257";"44"
"5360";"Twygo University";"x";"x";"x";"x";"x";"sabrina.alexcia@twygo.com";"";"09/02/2021";"38";"20"
"5481";"Universidade MOVE3 | Sequoia";"Rua Max Mangels Senior, 823";"";"São Bernardo do Campo";"SP";"Brasil";"rh@flashcourier.com.br";"www.flashcourier.com.br";"22/02/2021";"0";"0"
"5492";"Lastro";"Rua Lauro Linhares";"739";"Florianópolis";"Santa Catarina";"Brasil";"lastro.ltda@gmail.com";"lastro.net";"23/02/2021";"260";"4"
"5648";"Futuratec Segurança do Trabalho";"Avenida Itália, 277";"Sala 606";"Caxias do Sul";"Rio Grande do Sul";"Brasil";"contato@futuratecqp.com.br";"";"09/03/2021";"40";"4"
"5689";"Africa";"Av. Brg. Faria Lima, 3477";"3o andar";"São Paulo";"SP";"Brasil";"luiz.rossi@africa.com.br";"";"11/03/2021";"697";"29"
"5739";"GRUPO VERTICAL";"CRS, 515";"Bloco A Loja 5";"Brasilia";"DF";"Brasil";"franciele.sena@verticalsaude.com.br";"www.verticalsaude.com.br";"17/03/2021";"1216";"61"
"5762";"NOVO OLHAR - Visão Corporativa Inteligente";".";".";"Manaus";"AM";"Brasil";"comunicacao@novoolharbrasil.com.br";"";"19/03/2021";"1630";"36"
"5823";"Useall Software";"Rua Visconde de Cairú";"630";"Criciúma ";"SC";"Brasil";"useall@useall.com.br";"https://www.useall.com.br/";"29/03/2021";"0";"0"
"5824";"ECO EDUCA";"RUA MINISTRO OROZIMBO NONATO, 215 - ";"11 andar";"Nova Lima";"MG";"Brasil";"contato@ecodiagnostica.com.br";"";"29/03/2021";"6799";"91"
"5872";"Infocar Tecnologia";"Rua Presidente Prudente";"Prédio";"Guarulhos";"São Paulo";"Brasil";"comunicacao@infocar.com.br";"https://infocar.com.br/";"01/04/2021";"179";"18"
"5889";"C3 - Candidato";"Rua João Chagas Ortins de Freitas";"227";"LAURO DE FREITAS";"BA";"Brasil";"educacaocorporativa@c3engenharia.com.br";"https://c3engenharia.com.br/";"05/04/2021";"9015";"42"
"5931";"Lenovo";"Estrada Municipal José Costa de Mesquita, 220";"Módulos 5 a 11";"Indaiatuba";"São Paulo ";"Brasil";"gsilva4@lenovo.com";"https://www.lenovo.com/br/pt/";"08/04/2021";"286";"2"
"6108";"C3 | Centro de Conhecimento Ciser";"R. Carlos Frederico Adolfo Schneider, 70";"";"Joinville";"SC";"Brasil";"falecomc3@ciser.com.br";"http://www.ciser.com.br";"23/04/2021";"4156";"157"
"6267";"Quality - QWS";"x";"x";"x";"x";"x";"gmzanelli@gmail.com";"";"06/05/2021";"3036";"49"
"6336";"Deep";"0";"0";"0";"0";"0";"deep@deep.com.br";"";"12/05/2021";"56322";"844"
"6470";"Hospital Do Coração Anis Rassi";"Av. A, 453";"Esquina com Rua 09";"Goiânia";"Goiás";"Brasil";"nepes@arh.com.br";"http://hospitalanisrassi.com.br/";"24/05/2021";"872";"27"
"6471";"Naturafrig Alimentos LTDA.";"Rodovia MS 080";"KM-71";"Rochedo";"Mato Grosso do Sul";"Brasil";"ti.rochedo@naturafrig.com.br";"www.naturafrig.com.br";"24/05/2021";"2413";"16"
"6601";"Ellenco";"Av. Roberto Símonsen, 47";"";"Sorocaba";"SP";"Brasil";"arianne.costa@ellenco.com.br";"www.ellenco.com.br";"31/05/2021";"957";"58"
"6606";"Infomach";"-";"-";"-";"-";"-";"contato@infomach.com.br";"";"31/05/2021";"2838";"3"
"6644";"Sementes Brilhantes";"Rua Marieta 171";"";"São Paulo";"SP";"Brasil";"glauciamaciel@icloud.com";"www.sementesbrilhantes.com.br";"02/06/2021";"76";"1"
"6863";"Terra Viva";"ROD. SP 107 KM 27";"sn";"Santo Antônio de Posse";"São Paulo";"Brasil";"academiatv@terraviva.agr.br";"http://academia.terraviva.agr.br";"15/06/2021";"1295";"500"
"6903";"Sumitomo Rubber do Brasil LTDA";"Avenida Francisco Ferreira da Cruz, 4656";"0000";"Fazenda Rio Grande";"Paraná";"Brasil";"000@000.com";"https://www.dunloppneus.com.br/";"18/06/2021";"3692";"51"
"6945";"v4 company";"";"";"";"";"";"marco@v4company.com";"";"22/06/2021";"1";"0"
"7055";"WAP";"Rua Antonio Singer, 200";"Galpão 1";"São José dos Pinhais";"Paraná";"Brasil";"000@000.com";"https://wap.ind.br/";"27/06/2021";"191";"3"
"7083";"Grupo Alcast";"x";"x";"x";"x";"x";"gilson.correia@alcast.com.br";"";"29/06/2021";"298";"2"
"7103";"Mac Incorporadora Ltda";"000000000";"000000";"00000";"00000000000";"0000000";"000@000.com";"";"30/06/2021";"814";"56"
"7104";"Japatê";"00000000";"000000000";"000000";"00000000";"000000000";"000@000.com";"";"30/06/2021";"272";"15"
"7156";"Run2Biz";"x";"x";"x";"x";"x";"education@run2biz.com";"https://training.run2biz.com/pt-br/index.html";"06/07/2021";"2125";"38"
"7284";"GT COMPANY - GT HOME - GT HOME ABC - GT BUILDING";"X";"";"X";"X";"X";"gabriela.tavares@gtcompany.com.br";"";"15/07/2021";"480";"7"
"7635";"Santa Casa de Bragança Paulista";"RUA CORONEL ASSIS GONCALVES";"";"BRAGANÇA PAULISTA";"SÃO PAULO";"BRASIL";"francisco.lima@santacasabraganca.com.br";"";"04/08/2021";"591";"26"
"7640";"Fundación Eduardo Zbikoski";"Entre Ríos 2171";"2do Piso A";"Posadas ";"Misiones";"Argentina ";"capacitacionesfez@gmail.com";"";"04/08/2021";"4001";"172"
"7740";"NEP CISTRI";"Av. dos Eucaliptos, 800";"0000000000";"Uberlândia";"Minas Gerais";"Brasil";"nep.samucistri@gmail.com";"http://cistri.saude.mg.gov.br/";"13/08/2021";"1352";"2"
"7745";"Castelo Forte Treinamentos";"Av. Mal. Floriano Peixoto, 1016";"";"Telemaco Borba";"Paraná";"Brasil";"jean_mazer@hotmail.com";"";"13/08/2021";"26";"0"
"7775";"Academia - Mac Vendas";"00000000";"00000000000";"00000000000";"00000000000";"00000000";"rhvendas@mac.com.br";"www.mac.com.br";"17/08/2021";"0";"0"
"7866";"Blessed Treinamentos";"Avenida Marechal Floriano Peixoto";"";"Telemaco Borba";"Pr";"Brasil";"jean_mazer@hotmail.com";"";"23/08/2021";"0";"0"
"7889";"EducaIdeas";"0000000";"00000";"000000";"000000";"00000";"educacao@fcbsaude.com";"";"25/08/2021";"0";"0"
"7992";"Creare Sistemas Academy";"Av. Farroupilha";"";"Canoas ";"RS";"BR";"viviane.lucas@crearesistemas.com.br";"www.crearesistemas.com.br";"01/09/2021";"1418";"56"
"8456";"Myobrace Brasil - OrthoMundi";"Rua da Conceição, nº 195";"2º andar";"Porto Alegre";"RS";"Brasil";"ead.myobrace@orthomundi.com.br";"www.myobracebrasil.com.br";"14/10/2021";"4640";"1"
"8489";"Pontta Tecnologia";"";"";"";"";"";"guilherme.pacheco@pontta.com";"";"18/10/2021";"1";"0"
"8507";"Netgera Academy";"R. Pres. Nereu Ramos, 84 ";"";"Suzano";"São Paulo";"Brasil";"mattos@netgera.com.br";"";"20/10/2021";"54";"5"
"8522";"BB Previdência";"";"";"";"";"";"treinamento@bbprevidencia.com.br";"";"20/10/2021";"137";"9"
"8602";"GRUPO ALIAR";"Av. Prof. Abraão de Morais, 378";"";"São Paulo";"SP";"BRASIL";"suportealiarmais@aliargroup.com.br";"";"27/10/2021";"2424";"203"
"8703";"Administradores";"Av. Nossa Senhora dos Navegantes, 415 - Terceiro Andar, Tambaú";"";"João Pessoa";"PB";"Brasil";"contato@administradores.com.br";"www.administradores.com.br";"10/11/2021";"14";"4"
"8708";"Universidade ControlSoft ";"Av. Natalino João Brescansin 2753";"000000000";"Sorriso";"Mato Grosso";"Brasil";"universidade@controlsoft.com.br";"www.controlsoft.com.br";"10/11/2021";"276";"33"
"8751";"AC Consulti Brasil";"AV. Castelo Branco";"Predio CERTIFID";"Goiânia";"Goiás";"Brasil";"ead@consultibrasil.com.br";"www.acconsultibrasil.com.br";"16/11/2021";"2082";"12"
"8783";"Atua Sistemas de Informação";"R. Quinze de Novembro, 1170";"";"Passo Fundo";"RS";"BR";"cs@atua.com.br";"";"17/11/2021";"8379";"138"
"8881";"DS indústria de Peças Automotivas";"Avenida José Abbas Casseb, 75";"";"São José do Rio Preto	";"São Paulo";"BR";"higor@ds.ind.br";"www.ds.ind.br";"30/11/2021";"540";"4"
"8892";"Viação Grajau S.A.";"Rua Elísia Gonçalves Barcelos , 93";"000000000000";"São Paulo";"São Paulo";"Brasil";"treinamento@viacaograjau.com.br";"";"30/11/2021";"2147";"1"
"8906";"EducaINSV";"Rua Vergueiro, 3558";"Sala 906";"São Paulo ";"São Paulo ";"Brasil ";"educacao@fcbsaude.com";"www.educainsv.com.br";"30/11/2021";"0";"0"
"8936";"Consórcio KBPX";"Avenida Carlos Lacerda, 3003";"";"São Paulo";"São Paulo";"Brasil";"treinamento@kbpx.com.br";"https://kbpx.com.br/";"03/12/2021";"1517";"24"
"8948";"SBC - Serviço Brasileiro de Certificações";"Rua Major de Moura Campos";"";"Botucatu";"São Paulo";"Brasil";"financeiro@sbcert.com.br";"https://sbcert.com.br/";"06/12/2021";"372";"65"
"9051";"High Potential Program";"Rua São José, 40";"4º Andar";"Rio de Janeiro";"RJ";"Brasil";"highpotential@institutodegestao.com.br";"www.ieg.com.br";"16/12/2021";"497";"70"
"9071";"UNIGP - Universidade Gato Preto";"Avenida Alexandre Mackenzie, 69";"";"São Paulo";"SP";"Brasil";"planejamento1@vgpl.com.br";"http://www.viacaogatopreto.com.br/";"20/12/2021";"2328";"22"
"9176";"PlayHub";"Avenida Yojiro Takaoka, 4384";"Sala 701";"Santana de Parnaíba ";"SP";"Brasil";"contato@playhub.com.br";"https://www.playhub.net.br/";"06/01/2022";"8198";"7"
"9214";"Os Gideões Internacionais";"Rua Camargo Paes";"";"Campinas";"SP";"Brasil";"pietra.fantin@gideoes.org.br";"";"11/01/2022";"1213";"20"
"9237";"Panorama Sistemas";"rua 25 de julho";"Sala 110";"ibirama";"santa catarina";"Brasil";"rafael.diego@panoramasistemas.com.br";"www.panoramasistemas.com.br";"12/01/2022";"587";"77"
"9283";"SAESP";"R. Maestro Cardim";" conj. 131";"São Paulo";"SP";"BR";"eventos2@saesp.org.br";"https://saesp.org.br/";"17/01/2022";"13198";"53"
"9349";"IBFC ";"Rua Waldomiro Gabriel de Mello, 86";"";"Taboão da Serra";"São Paulo";"BR";"anapaula@ibfc.org.br";"";"24/01/2022";"6771";"14"
"9371";"PEÇA MENTOR";"Rua Cristóvão Colombo, 747";"";"Guarulhos";"São Paulo";"BRASIL";"marketing@gb.com.br";"www.pecamentor.com.br";"26/01/2022";"234";"9"
"9391";"Bracell";"ULBRATECH - Prédio 16, 2º Andar, Av. Farroupilha, 8001";"";"Canoas";"RS";"Brasil";"viviane.lucas@crearesistemas.com.br";"www.crearesistemas.com.br";"27/01/2022";"0";"0"
"9403";"EAD Mecasul";"Rodovia RS 122, N. 5845";"KM 68";"Caxias do Sul";"RS";"Brasil";"ricardo.piccoli@mecasul.com.br";"www.mecasul.com.br";"28/01/2022";"340";"2"
"9427";"Granha Ligas Ltda";"Rua Prefeito Nascimento Teixeira, 171 ";"";"São João Del Rei ";"MG";"BR";"daniele.santana@granhaligas.com.br";"http://granhaligas.com/";"31/01/2022";"612";"3"
"9447";"Proative Technology";"Alameda Araguaia, 2104";"7º Andar, Conj. 71";"Barueri ";"SP";"BR";"treinamentos@proativetec.com.br";"";"01/02/2022";"469";"593"
"9464";"Fundamental - Reforço Escolar On-line";"Rua Jacinto Uchoa de Mendonça, 223";"";"Aracaju";"Sergipe";"Brasil";"comercial@fundamental1e2.com.br";"https://fundamental1e2.com.br/";"01/02/2022";"5479";"96"
"9476";"Hospital  Royal";"Avenida Nossa Senhora dos Navegantes, 451";"";"Vitória ";"Espirito Santo";"BRASIL";"dayele.assis@hospitalroyalcare.com.br";"";"02/02/2022";"347";"362"
"9485";"STERIS";"Avenida Bem-te-vi, 77";"3 Andar";"São Paulo";"SP";"Brasil";"beatrizhganem@gmail.com";"https://sterislatam.com/";"03/02/2022";"487";"101"
"9538";"Escola do Consultor";"";"";"";"";"";"fabiovaz3@gmail.com";"";"08/02/2022";"27";"11"
"9540";"Núcleo do Saber -  DSL & Casa  do Chocolate";"rodovia 4° anel viário, 2091";"anexo";"Fortaleza";"CE";"Brasil";"unisaber@dsl.net.br";"";"08/02/2022";"669";"26"
"9644";"Universidade do Tênis de Mesa";"Rua Henrique de Novais, 190";"";"Rio de Janeiro";"RJ";"Brasil";"unitm@cbtm.org.br";"unitm.cbtm.org.br";"17/02/2022";"3394";"154"
"9666";"NRQuatro";"";"";"";"";"";"durval@nr4.com.br";"";"20/02/2022";"1";"0"
